date_id,date,day_of_week,month,quarter,year
date_1,2024-12-03,Tuesday,December,Q4,2024
date_2,2024-11-25,Monday,November,Q4,2024
date_3,2024-11-06,Wednesday,November,Q4,2024
date_4,2024-11-04,Monday,November,Q4,2024
date_5,2024-09-23,Monday,September,Q3,2024
date_6,2024-09-18,Wednesday,September,Q3,2024
date_7,2024-03-18,Monday,March,Q1,2024
date_8,2024-03-15,Friday,March,Q1,2024
date_9,2024-02-26,Monday,February,Q1,2024
date_10,2024-02-06,Tuesday,February,Q1,2024
date_11,2024-01-17,Wednesday,January,Q1,2024
date_12,2023-09-11,Monday,September,Q3,2023
date_13,2020-07-28,Tuesday,July,Q3,2020
date_14,2023-06-09,Friday,June,Q2,2023
date_15,2023-06-05,Monday,June,Q2,2023
date_16,2023-05-22,Monday,May,Q2,2023
date_17,2022-11-22,Tuesday,November,Q4,2022
date_18,2021-10-31,Sunday,October,Q4,2021
date_19,2025-01-09,Thursday,January,Q1,2025
date_20,2025-01-08,Wednesday,January,Q1,2025
date_21,2025-01-06,Monday,January,Q1,2025
date_22,2025-01-03,Friday,January,Q1,2025
date_23,2025-01-02,Thursday,January,Q1,2025
date_24,2024-12-27,Friday,December,Q4,2024
date_25,2024-12-26,Thursday,December,Q4,2024
date_26,2024-12-25,Wednesday,December,Q4,2024
date_27,2024-12-24,Tuesday,December,Q4,2024
date_28,2024-12-23,Monday,December,Q4,2024
date_29,2024-12-21,Saturday,December,Q4,2024
date_30,2024-12-20,Friday,December,Q4,2024
date_31,2024-12-18,Wednesday,December,Q4,2024
date_32,2024-12-17,Tuesday,December,Q4,2024
date_33,2024-12-16,Monday,December,Q4,2024
date_34,2024-12-13,Friday,December,Q4,2024
date_35,2024-12-12,Thursday,December,Q4,2024
date_36,2024-12-11,Wednesday,December,Q4,2024
date_37,2024-12-10,Tuesday,December,Q4,2024
date_38,2024-12-09,Monday,December,Q4,2024
date_39,2024-12-06,Friday,December,Q4,2024
date_40,2024-12-05,Thursday,December,Q4,2024
date_41,2024-12-04,Wednesday,December,Q4,2024
date_42,2024-12-02,Monday,December,Q4,2024
date_43,2024-11-29,Friday,November,Q4,2024
date_44,2024-11-28,Thursday,November,Q4,2024
date_45,2024-11-27,Wednesday,November,Q4,2024
date_46,2024-11-26,Tuesday,November,Q4,2024
date_47,2024-11-24,Sunday,November,Q4,2024
date_48,2024-11-22,Friday,November,Q4,2024
date_49,2024-11-21,Thursday,November,Q4,2024
date_50,2024-11-20,Wednesday,November,Q4,2024
date_51,2024-11-19,Tuesday,November,Q4,2024
date_52,2024-11-18,Monday,November,Q4,2024
date_53,2024-11-17,Sunday,November,Q4,2024
date_54,2024-11-16,Saturday,November,Q4,2024
date_55,2024-11-12,Tuesday,November,Q4,2024
date_56,2024-11-11,Monday,November,Q4,2024
date_57,2024-11-08,Friday,November,Q4,2024
date_58,2024-11-07,Thursday,November,Q4,2024
date_59,2024-11-05,Tuesday,November,Q4,2024
date_60,2024-11-03,Sunday,November,Q4,2024
date_61,2024-10-31,Thursday,October,Q4,2024
date_62,2024-10-30,Wednesday,October,Q4,2024
date_63,2024-10-29,Tuesday,October,Q4,2024
date_64,2024-10-28,Monday,October,Q4,2024
date_65,2024-10-23,Wednesday,October,Q4,2024
date_66,2024-10-16,Wednesday,October,Q4,2024
date_67,2024-10-14,Monday,October,Q4,2024
date_68,2024-10-11,Friday,October,Q4,2024
date_69,2024-10-08,Tuesday,October,Q4,2024
date_70,2024-09-30,Monday,September,Q3,2024
date_71,2024-09-27,Friday,September,Q3,2024
date_72,2024-09-26,Thursday,September,Q3,2024
date_73,2024-09-25,Wednesday,September,Q3,2024
date_74,2024-09-22,Sunday,September,Q3,2024
date_75,2024-09-21,Saturday,September,Q3,2024
date_76,2024-09-20,Friday,September,Q3,2024
date_77,2024-09-17,Tuesday,September,Q3,2024
date_78,2024-09-16,Monday,September,Q3,2024
date_79,2024-09-14,Saturday,September,Q3,2024
date_80,2024-09-13,Friday,September,Q3,2024
date_81,2024-09-12,Thursday,September,Q3,2024
date_82,2024-09-11,Wednesday,September,Q3,2024
date_83,2024-09-10,Tuesday,September,Q3,2024
date_84,2024-09-09,Monday,September,Q3,2024
date_85,2024-09-06,Friday,September,Q3,2024
date_86,2024-09-05,Thursday,September,Q3,2024
date_87,2024-09-04,Wednesday,September,Q3,2024
date_88,2024-09-03,Tuesday,September,Q3,2024
date_89,2024-09-02,Monday,September,Q3,2024
date_90,2024-08-30,Friday,August,Q3,2024
date_91,2024-08-29,Thursday,August,Q3,2024
date_92,2024-08-28,Wednesday,August,Q3,2024
date_93,2024-08-27,Tuesday,August,Q3,2024
date_94,2024-08-26,Monday,August,Q3,2024
date_95,2024-08-24,Saturday,August,Q3,2024
date_96,2024-08-23,Friday,August,Q3,2024
date_97,2024-08-22,Thursday,August,Q3,2024
date_98,2024-06-03,Monday,June,Q2,2024
date_99,2024-08-21,Wednesday,August,Q3,2024
date_100,2024-08-20,Tuesday,August,Q3,2024
date_101,2024-08-19,Monday,August,Q3,2024
date_102,2024-08-17,Saturday,August,Q3,2024
date_103,2024-08-16,Friday,August,Q3,2024
date_104,2024-08-15,Thursday,August,Q3,2024
date_105,2024-08-14,Wednesday,August,Q3,2024
date_106,2024-08-13,Tuesday,August,Q3,2024
date_107,2024-08-12,Monday,August,Q3,2024
date_108,2024-08-10,Saturday,August,Q3,2024
date_109,2024-08-09,Friday,August,Q3,2024
date_110,2024-08-08,Thursday,August,Q3,2024
date_111,2024-08-07,Wednesday,August,Q3,2024
date_112,2024-08-06,Tuesday,August,Q3,2024
date_113,2024-08-02,Friday,August,Q3,2024
date_114,2024-08-01,Thursday,August,Q3,2024
date_115,2024-07-31,Wednesday,July,Q3,2024
date_116,2024-07-30,Tuesday,July,Q3,2024
date_117,2024-07-29,Monday,July,Q3,2024
date_118,2024-07-28,Sunday,July,Q3,2024
date_119,2024-07-26,Friday,July,Q3,2024
date_120,2024-07-25,Thursday,July,Q3,2024
date_121,2024-07-24,Wednesday,July,Q3,2024
date_122,2024-07-23,Tuesday,July,Q3,2024
date_123,2024-07-22,Monday,July,Q3,2024
date_124,2024-07-19,Friday,July,Q3,2024
date_125,2024-07-18,Thursday,July,Q3,2024
date_126,2024-07-17,Wednesday,July,Q3,2024
date_127,2024-07-16,Tuesday,July,Q3,2024
date_128,2024-07-15,Monday,July,Q3,2024
date_129,2024-06-05,Wednesday,June,Q2,2024
date_130,2024-07-12,Friday,July,Q3,2024
date_131,2024-07-11,Thursday,July,Q3,2024
date_132,2024-07-10,Wednesday,July,Q3,2024
date_133,2024-07-09,Tuesday,July,Q3,2024
date_134,2024-07-08,Monday,July,Q3,2024
date_135,2024-07-05,Friday,July,Q3,2024
date_136,2024-07-03,Wednesday,July,Q3,2024
date_137,2024-07-02,Tuesday,July,Q3,2024
date_138,2024-07-01,Monday,July,Q3,2024
date_139,2024-06-30,Sunday,June,Q2,2024
date_140,2024-06-29,Saturday,June,Q2,2024
date_141,2024-06-28,Friday,June,Q2,2024
date_142,2024-06-27,Thursday,June,Q2,2024
date_143,2024-06-26,Wednesday,June,Q2,2024
date_144,2024-06-25,Tuesday,June,Q2,2024
date_145,2024-06-24,Monday,June,Q2,2024
date_146,2024-06-22,Saturday,June,Q2,2024
date_147,2024-06-21,Friday,June,Q2,2024
date_148,2024-06-20,Thursday,June,Q2,2024
date_149,2024-06-19,Wednesday,June,Q2,2024
date_150,2024-06-14,Friday,June,Q2,2024
date_151,2024-06-13,Thursday,June,Q2,2024
date_152,2024-06-12,Wednesday,June,Q2,2024
date_153,2024-06-11,Tuesday,June,Q2,2024
date_154,2024-06-10,Monday,June,Q2,2024
date_155,2024-06-06,Thursday,June,Q2,2024
date_156,2024-06-04,Tuesday,June,Q2,2024
date_157,2024-06-01,Saturday,June,Q2,2024
date_158,2024-05-31,Friday,May,Q2,2024
date_159,2024-05-30,Thursday,May,Q2,2024
date_160,2024-05-29,Wednesday,May,Q2,2024
date_161,2024-05-28,Tuesday,May,Q2,2024
date_162,2024-05-27,Monday,May,Q2,2024
date_163,2024-05-24,Friday,May,Q2,2024
date_164,2024-05-23,Thursday,May,Q2,2024
date_165,2024-05-21,Tuesday,May,Q2,2024
date_166,2024-05-19,Sunday,May,Q2,2024
date_167,2024-05-17,Friday,May,Q2,2024
date_168,2024-05-16,Thursday,May,Q2,2024
date_169,2024-05-15,Wednesday,May,Q2,2024
date_170,2024-05-13,Monday,May,Q2,2024
date_171,2024-05-12,Sunday,May,Q2,2024
date_172,2024-05-10,Friday,May,Q2,2024
date_173,2024-05-09,Thursday,May,Q2,2024
date_174,2024-05-08,Wednesday,May,Q2,2024
date_175,2024-05-07,Tuesday,May,Q2,2024
date_176,2024-05-06,Monday,May,Q2,2024
date_177,2024-05-03,Friday,May,Q2,2024
date_178,2024-05-02,Thursday,May,Q2,2024
date_179,2024-04-30,Tuesday,April,Q2,2024
date_180,2024-04-29,Monday,April,Q2,2024
date_181,2024-04-28,Sunday,April,Q2,2024
date_182,2024-04-26,Friday,April,Q2,2024
date_183,2024-04-25,Thursday,April,Q2,2024
date_184,2024-04-24,Wednesday,April,Q2,2024
date_185,2024-04-23,Tuesday,April,Q2,2024
date_186,2024-04-22,Monday,April,Q2,2024
date_187,2024-04-19,Friday,April,Q2,2024
date_188,2024-04-17,Wednesday,April,Q2,2024
date_189,2024-04-12,Friday,April,Q2,2024
date_190,2024-04-11,Thursday,April,Q2,2024
date_191,2024-04-09,Tuesday,April,Q2,2024
date_192,2024-04-08,Monday,April,Q2,2024
date_193,2024-04-07,Sunday,April,Q2,2024
date_194,2024-04-05,Friday,April,Q2,2024
date_195,2024-04-04,Thursday,April,Q2,2024
date_196,2024-04-01,Monday,April,Q2,2024
date_197,2024-03-31,Sunday,March,Q1,2024
date_198,2024-03-26,Tuesday,March,Q1,2024
date_199,2024-03-25,Monday,March,Q1,2024
date_200,2024-03-22,Friday,March,Q1,2024
date_201,2024-03-21,Thursday,March,Q1,2024
date_202,2024-03-20,Wednesday,March,Q1,2024
date_203,2024-03-19,Tuesday,March,Q1,2024
date_204,2024-03-17,Sunday,March,Q1,2024
date_205,2024-03-14,Thursday,March,Q1,2024
date_206,2024-03-13,Wednesday,March,Q1,2024
date_207,2024-03-12,Tuesday,March,Q1,2024
date_208,2024-03-11,Monday,March,Q1,2024
date_209,2024-03-10,Sunday,March,Q1,2024
date_210,2024-03-09,Saturday,March,Q1,2024
date_211,2024-03-07,Thursday,March,Q1,2024
date_212,2024-03-06,Wednesday,March,Q1,2024
date_213,2024-03-05,Tuesday,March,Q1,2024
date_214,2024-03-04,Monday,March,Q1,2024
date_215,2024-03-01,Friday,March,Q1,2024
date_216,2024-02-29,Thursday,February,Q1,2024
date_217,2024-02-28,Wednesday,February,Q1,2024
date_218,2024-02-27,Tuesday,February,Q1,2024
date_219,2024-02-23,Friday,February,Q1,2024
date_220,2024-02-22,Thursday,February,Q1,2024
date_221,2024-02-21,Wednesday,February,Q1,2024
date_222,2024-02-20,Tuesday,February,Q1,2024
date_223,2024-02-19,Monday,February,Q1,2024
date_224,2024-02-16,Friday,February,Q1,2024
date_225,2024-02-15,Thursday,February,Q1,2024
date_226,2024-02-14,Wednesday,February,Q1,2024
date_227,2024-02-13,Tuesday,February,Q1,2024
date_228,2024-02-12,Monday,February,Q1,2024
date_229,2024-02-10,Saturday,February,Q1,2024
date_230,2024-02-09,Friday,February,Q1,2024
date_231,2024-02-08,Thursday,February,Q1,2024
date_232,2024-02-07,Wednesday,February,Q1,2024
date_233,2024-02-05,Monday,February,Q1,2024
date_234,2024-02-03,Saturday,February,Q1,2024
date_235,2024-02-02,Friday,February,Q1,2024
date_236,2024-02-01,Thursday,February,Q1,2024
date_237,2024-01-31,Wednesday,January,Q1,2024
date_238,2024-01-30,Tuesday,January,Q1,2024
date_239,2024-01-29,Monday,January,Q1,2024
date_240,2024-01-28,Sunday,January,Q1,2024
date_241,2024-01-26,Friday,January,Q1,2024
date_242,2024-01-25,Thursday,January,Q1,2024
date_243,2024-01-24,Wednesday,January,Q1,2024
date_244,2024-01-23,Tuesday,January,Q1,2024
date_245,2024-01-22,Monday,January,Q1,2024
date_246,2024-01-19,Friday,January,Q1,2024
date_247,2024-01-18,Thursday,January,Q1,2024
date_248,2024-01-16,Tuesday,January,Q1,2024
date_249,2024-01-12,Friday,January,Q1,2024
date_250,2024-01-11,Thursday,January,Q1,2024
date_251,2024-01-10,Wednesday,January,Q1,2024
date_252,2024-01-08,Monday,January,Q1,2024
date_253,2024-01-06,Saturday,January,Q1,2024
date_254,2024-01-03,Wednesday,January,Q1,2024
date_255,2024-01-01,Monday,January,Q1,2024
date_256,2023-12-28,Thursday,December,Q4,2023
date_257,2023-12-27,Wednesday,December,Q4,2023
date_258,2023-12-26,Tuesday,December,Q4,2023
date_259,2023-12-24,Sunday,December,Q4,2023
date_260,2023-12-22,Friday,December,Q4,2023
date_261,2023-12-21,Thursday,December,Q4,2023
date_262,2023-12-19,Tuesday,December,Q4,2023
date_263,2023-12-18,Monday,December,Q4,2023
date_264,2023-12-14,Thursday,December,Q4,2023
date_265,2023-12-13,Wednesday,December,Q4,2023
date_266,2023-12-12,Tuesday,December,Q4,2023
date_267,2023-12-11,Monday,December,Q4,2023
date_268,2023-12-10,Sunday,December,Q4,2023
date_269,2023-12-08,Friday,December,Q4,2023
date_270,2023-12-07,Thursday,December,Q4,2023
date_271,2023-12-06,Wednesday,December,Q4,2023
date_272,2023-12-04,Monday,December,Q4,2023
date_273,2023-11-29,Wednesday,November,Q4,2023
date_274,2023-11-24,Friday,November,Q4,2023
date_275,2023-11-23,Thursday,November,Q4,2023
date_276,2023-11-22,Wednesday,November,Q4,2023
date_277,2023-11-21,Tuesday,November,Q4,2023
date_278,2023-11-15,Wednesday,November,Q4,2023
date_279,2023-11-14,Tuesday,November,Q4,2023
date_280,2023-11-03,Friday,November,Q4,2023
date_281,2023-11-02,Thursday,November,Q4,2023
date_282,2023-11-01,Wednesday,November,Q4,2023
date_283,2023-10-31,Tuesday,October,Q4,2023
date_284,2023-10-30,Monday,October,Q4,2023
date_285,2023-10-25,Wednesday,October,Q4,2023
date_286,2023-10-20,Friday,October,Q4,2023
date_287,2023-10-19,Thursday,October,Q4,2023
date_288,2023-10-18,Wednesday,October,Q4,2023
date_289,2023-10-17,Tuesday,October,Q4,2023
date_290,2024-12-19,Thursday,December,Q4,2024
date_291,2025-01-07,Tuesday,January,Q1,2025
date_292,2024-12-14,Saturday,December,Q4,2024
date_293,2024-12-30,Monday,December,Q4,2024
date_294,2024-10-15,Tuesday,October,Q4,2024
date_295,2024-10-22,Tuesday,October,Q4,2024
date_296,2024-10-07,Monday,October,Q4,2024
date_297,2024-11-09,Saturday,November,Q4,2024
date_298,2024-11-10,Sunday,November,Q4,2024
date_299,2024-10-27,Sunday,October,Q4,2024
date_300,2024-10-04,Friday,October,Q4,2024
date_301,2024-10-21,Monday,October,Q4,2024
date_302,2024-10-18,Friday,October,Q4,2024
date_303,2024-10-17,Thursday,October,Q4,2024
date_304,2024-10-09,Wednesday,October,Q4,2024
date_305,2024-10-10,Thursday,October,Q4,2024
date_306,2024-10-06,Sunday,October,Q4,2024
date_307,2024-09-19,Thursday,September,Q3,2024
date_308,2024-09-08,Sunday,September,Q3,2024
date_309,2024-09-15,Sunday,September,Q3,2024
date_310,2024-09-07,Saturday,September,Q3,2024
date_311,2024-09-01,Sunday,September,Q3,2024
date_312,2024-11-13,Wednesday,November,Q4,2024
date_313,2024-06-18,Tuesday,June,Q2,2024
date_314,2024-06-17,Monday,June,Q2,2024
date_315,2024-05-20,Monday,May,Q2,2024
date_316,2024-04-02,Tuesday,April,Q2,2024
date_317,2024-07-04,Thursday,July,Q3,2024
date_318,2024-03-27,Wednesday,March,Q1,2024
date_319,2024-10-24,Thursday,October,Q4,2024
date_320,2024-04-18,Thursday,April,Q2,2024
date_321,2024-04-03,Wednesday,April,Q2,2024
date_322,2024-12-08,Sunday,December,Q4,2024
date_323,2024-09-24,Tuesday,September,Q3,2024
date_324,2024-06-07,Friday,June,Q2,2024
date_325,2023-12-20,Wednesday,December,Q4,2023
date_326,2024-01-02,Tuesday,January,Q1,2024
